company_number,company_status,company_type,incorporation_date,dissolution_date,age_days,sic_primary,sic_sector,region,has_insolvency_history,has_charges,has_been_liquidated,office_in_dispute,undeliverable_address,officer_count,resigned_count,officer_turnover_rate,filing_count,accounts_count,confirmation_count,charge_count,outstanding_charges,charge_satisfaction_rate,psc_count,corporate_psc_count,dissolved
NI607153,dissolved,ltd,2011-04-19,2019-12-17,3164,74990,Real Estate/Business,Belfast,0,0,0,0,0,3,2,0.667,24,7,8,0,0,0.0,0,0,1
NI606858,dissolved,ltd,2011-03-29,2017-09-05,2352,47710,Construction/Transport,Co.Down,0,0,0,0,0,2,0,0.0,14,5,5,0,0,0.0,0,0,1
NI636962,dissolved,ltd,2016-03-08,2021-08-17,1988,77390,Real Estate/Business,County Down,0,0,0,0,0,2,0,0.0,15,3,4,0,0,0.0,1,0,1
NI636946,dissolved,ltd,2016-03-08,2021-08-10,1981,56103,Retail/Trade,County Antrim,0,0,0,0,0,1,0,0.0,13,4,5,0,0,0.0,1,0,1
NI636997,dissolved,ltd,2016-03-10,2017-12-19,649,47190,Construction/Transport,Newry,0,0,0,0,0,1,0,0.0,7,2,1,0,0,0.0,1,0,1
NI637080,dissolved,ltd,2016-03-14,2023-04-11,2584,10710,Manufacturing,County Down,0,1,0,0,0,2,0,0.0,22,6,7,1,1,0.0,3,1,1
NI637268,dissolved,ltd,2016-03-22,2018-04-24,763,82110,Public/Education/Health,County Armagh,0,0,0,0,0,1,0,0.0,7,1,1,0,0,0.0,1,0,1
NI637180,dissolved,ltd,2016-03-18,2018-07-17,851,,Unknown,Belfast,1,0,0,0,0,1,0,0.0,9,0,0,0,0,0.0,0,0,1
NI635611,dissolved,ltd,2016-01-05,2018-05-15,861,68100,Finance/Insurance,County Antrim,0,0,0,0,0,1,0,0.0,8,1,2,0,0,0.0,1,0,1
NI635840,dissolved,ltd,2016-01-15,2018-01-09,725,41202,Construction/Transport,Co Derry,0,0,0,0,0,1,0,0.0,5,0,1,0,0,0.0,1,0,1
NI637596,dissolved,ltd,2016-04-06,2018-05-29,783,47650,Construction/Transport,Carrickfergus,0,0,0,0,0,1,0,0.0,4,0,1,0,0,0.0,1,0,1
NI637665,dissolved,ltd,2016-04-08,2017-09-12,522,,Unknown,County Londonderry,0,0,0,0,0,1,0,0.0,3,0,0,0,0,0.0,0,0,1
NI636164,dissolved,ltd,2016-02-02,2018-01-30,728,82110,Public/Education/Health,Belfast,0,0,0,0,0,3,2,0.667,15,4,1,0,0,0.0,1,0,1
NI636204,dissolved,private-limited-guarant-nsc,2016-02-04,2017-07-11,523,,Unknown,Co Tyrone,0,0,0,0,0,3,0,0.0,3,0,0,0,0,0.0,0,0,1
NI636886,dissolved,ltd,2016-03-04,2023-08-08,2713,22290,Manufacturing,Co Tyrone,0,0,0,0,0,3,1,0.333,29,6,6,0,0,0.0,1,0,1
NI637007,dissolved,ltd,2016-03-10,2018-02-06,698,70100,Real Estate/Business,Belfast,0,0,0,0,0,2,0,0.0,5,0,1,0,0,0.0,2,0,1
NI636973,dissolved,ltd,2016-03-09,2018-07-10,853,,Unknown,Banbridge,0,0,0,0,0,1,0,0.0,5,0,0,0,0,0.0,0,0,1
NI635592,dissolved,ltd,2016-01-04,2017-06-13,526,,Unknown,Belfast,0,0,0,0,0,2,0,0.0,3,0,0,0,0,0.0,0,0,1
NI637046,dissolved,ltd,2016-03-11,2019-02-12,1068,86900,Public/Education/Health,Bangor,0,0,0,0,0,2,0,0.0,11,3,2,0,0,0.0,2,0,1
NI637332,dissolved,ltd,2016-03-24,2017-12-12,628,93130,Other Services,Belfast,0,0,0,0,0,1,0,0.0,5,0,1,0,0,0.0,1,0,1
NI635833,dissolved,ltd,2016-01-15,2017-06-27,529,,Unknown,Parkgate,0,0,0,0,0,1,0,0.0,3,0,0,0,0,0.0,0,0,1
NI637570,dissolved,ltd,2016-04-05,2017-09-12,525,,Unknown,County Tyrone,0,0,0,0,0,1,0,0.0,3,0,0,0,0,0.0,0,0,1
NI637540,dissolved,ltd,2016-04-04,2018-02-06,673,,Unknown,Belfast,0,0,0,0,0,2,1,0.5,5,0,0,0,0,0.0,0,0,1
NI636773,dissolved,ltd,2016-03-01,2019-09-24,1302,33160,Manufacturing,Antrim,0,0,0,0,0,1,0,0.0,9,2,3,0,0,0.0,1,0,1
